Function,Thread Number,Line,Col,Block Size,Time,L1,L2
1,1,600,600,None,0.223438,243520786.0,268634.0
1,1,1000,1000,None,0.735799,1138020702.0,3345895.0
1,1,1400,1400,None,2.36987,3114742812.0,68056050.0
1,1,1800,1800,None,5.32801,6609572206.0,103777442.0
1,1,2200,2200,None,10.5276,12049983797.0,783401586.0
1,1,2600,2600,None,18.5056,19873808125.0,1649274665.0
1,1,3000,3000,None,29.3452,30515770397.0,2752226320.0
2,1,600,600,None,0.0784233,27647702.0,207381.0
2,1,1000,1000,None,0.351665,128527178.0,994319.0
2,1,1400,1400,None,1.08369,357436033.0,2432748.0
2,1,1800,1800,None,2.38795,775651308.0,5786624.0
2,1,2200,2200,None,4.42947,1907476714.0,1331923.0
2,1,2600,2600,None,7.39317,4035286806.0,2020800.0
2,1,3000,3000,None,11.3186,6471803358.0,2923742.0
2,1,4096,4096,None,29.1789,17350848846.0,5945730.0
2,1,6144,6144,None,97.4206,58452108686.0,18101585.0
2,1,8192,8192,None,231.191,138561004030.0,42473470.0
2,1,10240,10240,None,450.94,270455890593.0,84324486.0
3,1,4096,4096,512,28.7824,10057620255,604952975
3,1,4096,4096,1024,38.9001,9994872619,444675094
3,1,4096,4096,2048,34.128,12499226937,143128729
3,1,4096,4096,4096,29.0719,17336718412,5762725
3,1,6144,6144,512,85.1638,33753682242,1939922809
3,1,6144,6144,1024,106.185,32965520259,1108502745
3,1,6144,6144,2048,114.339,42127735204,486298409
3,1,6144,6144,4096,110.241,53303522093,325488477
3,1,8192,8192,512,391.856,81005453463,4511400762
3,1,8192,8192,1024,320.948,81238770822,4692393273
3,1,8192,8192,2048,272.618,100123618075,1167063472
3,1,8192,8192,4096,255.177,139563982098,623934250
3,1,10240,10240,512,393.5,156099394124,8948052451
3,1,10240,10240,1024,479.565,152450771081,5117200644
3,1,10240,10240,2048,523.77,194877548980,2339210493
3,1,10240,10240,4096,503.354,256888259710,1456396537
1,8,600,600,None,0.0204885,30558001.0,66825.0
1,8,1000,1000,None,0.0908348,142407604.0,307885.0
1,8,1400,1400,None,0.327843,389766911.0,21010216.0
1,8,1800,1800,None,0.906612,826802616.0,68673168.0
1,8,2200,2200,None,1.67491,1507776378.0,126888340.0
1,8,2600,2600,None,2.75654,2487452251.0,214419883.0
1,8,3000,3000,None,4.21646,3817645936.0,334453431.0
2,8,600,600,None,0.0144335,3565559.0,27346.0
2,8,1000,1000,None,0.0512639,16355424.0,169755.0
2,8,1400,1400,None,0.152704,45345740.0,509773.0
2,8,1800,1800,None,0.36986,98362361.0,620349.0
2,8,2200,2200,None,0.700947,240552318.0,187497.0
2,8,2600,2600,None,1.12193,505331085.0,258206.0
2,8,3000,3000,None,1.83334,811798591.0,357622.0
2,8,4096,4096,None,4.60132,2168278968.0,770847.0
2,8,6144,6144,None,16.0979,7315321068.0,2444508.0
2,8,8192,8192,None,37.9911,17336474410.0,5823241.0
2,8,10240,10240,None,73.4635,33822100436.0,11437013.0
3,8,4096,4096,512,4.64214,1259193415,70109818
3,8,4096,4096,1024,10.6448,2527469827,97062761
3,8,4096,4096,2048,18.0713,6388920225,61529552
3,8,4096,4096,4096,29.1064,17372923309,5541616
3,8,6144,6144,512,22.6115,5654804688,329481522
3,8,6144,6144,1024,19.1029,5539428738,196946050
3,8,6144,6144,2048,40.8914,14389145556,136588601
3,8,6144,6144,4096,75.4584,35541529533,210247609
3,8,8192,8192,512,59.7813,10108310215,568298906
3,8,8192,8192,1024,50.2479,10195649245,519468075
3,8,8192,8192,2048,72.503,25678334090,328156790
3,8,8192,8192,4096,133.026,69781050880,266442349
3,8,10240,10240,512,115.978,23576954528,1319080586
3,8,10240,10240,1024,105.649,30611956254,1039557157
3,8,10240,10240,2048,119.058,40038284945,488881746
3,8,10240,10240,4096,219.106,103063518665,486380244
1,16,600,600,None,0.0299864,15587581.0,43131.0
1,16,1000,1000,None,0.0746596,71719168.0,318325.0
1,16,1400,1400,None,0.230907,196434712.0,7716165.0
1,16,1800,1800,None,0.541276,422638720.0,12915119.0
1,16,2200,2200,None,1.00626,769930024.0,27158279.0
1,16,2600,2600,None,1.68733,1271136825.0,40326569.0
1,16,3000,3000,None,2.45567,1942548783.0,72861056.0
2,16,600,600,None,0.0123621,1900616.0,19356.0
2,16,1000,1000,None,0.0598666,9229840.0,59997.0
2,16,1400,1400,None,0.151334,41616008.0,52681.0
2,16,1800,1800,None,0.325534,82367208.0,80025.0
2,16,2200,2200,None,0.614868,157321588.0,132246.0
2,16,2600,2600,None,1.01711,267604689.0,201103.0
2,16,3000,3000,None,1.54165,412566777.0,213388.0
2,16,4096,4096,None,4.20401,1096125427.0,464775.0
2,16,6144,6144,None,22.1963,3689321074.0,2456529.0
2,16,8192,8192,None,78.8193,8702728661.0,7465700.0
2,16,10240,10240,None,178.619,16963083317.0,19240458.0
3,16,4096,4096,512,4.58238,1262288712,75140713
3,16,4096,4096,1024,10.6423,2527761478,104481378
3,16,4096,4096,2048,18.0685,6400439779,60699474
3,16,4096,4096,4096,29.0324,17331249198,5509274
3,16,6144,6144,512,19.8601,2936255069,118439758
3,16,6144,6144,1024,18.7754,5533238728,193908619
3,16,6144,6144,2048,40.8252,14398198662,136478862
3,16,6144,6144,4096,75.4678,35535836315,210426384
3,16,8192,8192,512,80.9137,5494078559,377198017
3,16,8192,8192,1024,50.1862,10146219655,478256909
3,16,8192,8192,2048,72.4749,25701806470,322899689
3,16,8192,8192,4096,132.807,69783682490,262683236
3,16,10240,10240,512,130.857,16366739507,906948309
3,16,10240,10240,1024,90.9892,17487055062,346758120
3,16,10240,10240,2048,119.328,40094974018,494228272
3,16,10240,10240,4096,220.208,103051701468,490853954
